hours,price
0,25.672499999999996
1,24.712500000000002
2,24.1425
3,24.097500000000004
4,24.69
5,25.8525
6,28.4775
7,36.735
8,40.582499999999996
9,40.582499999999996
10,38.309999999999995
11,35.197500000000005
12,32.955
13,30.0825
14,28.807499999999997
15,28.267499999999995
16,28.5525
17,29.925
18,32.6625
19,31.575
20,27.6375
21,26.7375
22,25.9275
